10675 ,"""טבע דומם"" ממקבץ חפצים לחפצים ברשות עצמם ",הנחיה מקוונת 
10675 ,"""טבע דומם"" ממקבץ חפצים לחפצים ברשות עצמם ",ללא מפגשי הנחיה 
14312 ,אבחון תעסוקתי ומיון עובדים ,רעננה - האוניברסיטה הפתוחה ברעננה 
10814 ,אגדת הגולם ,הנחיה מקוונת 
10814 ,אגדת הגולם ,ללא מפגשי הנחיה 
20440 ,אוטומטים ושפות פורמליות ,הנחיה מקוונת 
20440 ,אוטומטים ושפות פורמליות ,הנחיה מקוונת 
20440 ,אוטומטים ושפות פורמליות ,הנחיה מקוונת 
20440 ,אוטומטים ושפות פורמליות ,ללא מפגשי הנחיה 
20440 ,אוטומטים ושפות פורמליות ,חיפה - קמפוס חיפה בנמל 
20440 ,אוטומטים ושפות פורמליות ,חיפה - קמפוס חיפה בבית בירם 
20440 ,אוטומטים ושפות פורמליות ,ירושלים - בית ברכה 
20440 ,אוטומטים ושפות פורמליות ,תל אביב - ביס אליאנס 
20440 ,אוטומטים ושפות פורמליות ,תל אביב - ביס אליאנס 
20440 ,אוטומטים ושפות פורמליות ,תל אביב - ביס אליאנס 
20440 ,אוטומטים ושפות פורמליות ,תל אביב - ביס אליאנס 
20440 ,אוטומטים ושפות פורמליות ,תל אביב - ביס אליאנס 
20440 ,אוטומטים ושפות פורמליות ,תל אביב - ביס אליאנס 
20440 ,אוטומטים ושפות פורמליות ,באר שבע - קמפוס בית יציב 
91494 ,אוריינות אקדמית ,הנחיה מקוונת 
91494 ,אוריינות אקדמית ,הנחיה מקוונת 
55476 ,אוריינות מחקר בחינוך ,הנחיה מקוונת 
55476 ,אוריינות מחקר בחינוך ,נצרת - האוניברסיטה הפתוחה 
55476 ,אוריינות מחקר בחינוך ,תל אביב - ביס אליאנס 
55476 ,אוריינות מחקר בחינוך ,באר שבע - קמפוס בית יציב 
13012 ,אחריות תאגידית: בין אתיקה לאסטרטגיה ,הנחיה מקוונת 
96291 ,אימון בכישורי למידה במבוא למיקרוכלכלה ,הנחיה מקוונת 
96293 ,"אימון בלמידה בביולוגיה, תכנית כוללת ",הנחיה מקוונת 
96293 ,"אימון בלמידה בביולוגיה, תכנית כוללת ",תל אביב - תיכון חדש 
10759 ,אינטליגנציה רגשית ,הנחיה מקוונת 
10759 ,אינטליגנציה רגשית ,הנחיה מקוונת 
10759 ,אינטליגנציה רגשית ,ללא מפגשי הנחיה 
10269 ,אישיות: תאוריה ומחקר ,הנחיה מקוונת 
10269 ,אישיות: תאוריה ומחקר ,הנחיה מקוונת 
10269 ,אישיות: תאוריה ומחקר ,הנחיה מקוונת 
10269 ,אישיות: תאוריה ומחקר ,הנחיה מקוונת 
10269 ,אישיות: תאוריה ומחקר ,ללא מפגשי הנחיה 
10269 ,אישיות: תאוריה ומחקר ,תל אביב - ביס אליאנס 
20109 ,אלגברה לינארית 1 ,הנחיה מקוונת 
20109 ,אלגברה לינארית 1 ,הנחיה מקוונת 
20109 ,אלגברה לינארית 1 ,הנחיה מקוונת 
20109 ,אלגברה לינארית 1 ,הנחיה מקוונת 
20109 ,אלגברה לינארית 1 ,הנחיה מקוונת 
20109 ,אלגברה לינארית 1 ,הנחיה מקוונת 
20109 ,אלגברה לינארית 1 ,ללא מפגשי הנחיה 
20109 ,אלגברה לינארית 1 ,קבוצה ללא מפגשי הנחיה 
20109 ,אלגברה לינארית 1 ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
20109 ,אלגברה לינארית 1 ,דעת ירושלים 
20109 ,אלגברה לינארית 1 ,חיפה - קמפוס חיפה בנמל 
